csv_file_name, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50
gutenbergcarrolllewisaliceadventu, 0.4737436737725548, 1.2774172926210638, 1.749157288264532, 1.8583556721605892, 2.122255796879735, 2.2094118162804754, 2.2913389367797397, 2.4505132143649404, 2.582879886906003, 2.767255709216347, 2.8958310581409887, 3.009618263275129, 3.0991755529938234, 3.143885352021498, 3.2474535713305714, 3.247672346296461, 3.270357060507392, 3.2891935215558195, 3.386615074899171, 3.365616915745952, 3.3909284459822313, 3.4063053774242906, 3.5193923605101594, 3.5777413488273306, 3.586591777437085, 3.6319932794623244, 3.6524601731253936, 3.6015069304476652, 3.6423246689555295, 3.6160475443232603, 3.663394399546889, 3.695269852078458, 3.714537602334536, 3.747821364878009, 3.746460173047554, 3.7741858999937734, 3.8297407091326505, 3.870402563616101, 3.9303979763829973, 3.937349895915943, 3.9156513372065502, 3.9329457906754555, 3.9552307914318034, 3.9429872189592383, 3.9683360340347953, 3.96379146727466, 3.9536106964162974, 3.939223500968669, 3.9236019389389796, 3.928822960108802
gutenbergcarrolllewissylvieandbr, 1.123866195384161, 1.7043094752663053, 2.1668060710996304, 2.291099187445967, 2.39554691368123, 2.6414242051392818, 2.745440047876984, 2.8077930215986435, 2.98872220360487, 3.1264826923420035, 3.2158494274712526, 3.296004888224016, 3.396759753178294, 3.4788537452459534, 3.476969521931139, 3.508632049728298, 3.497409783128854, 3.498668659846787, 3.5782011652407024, 3.57865946071661, 3.6884877443060016, 3.743090241709292, 3.7548700413262215, 3.802854633810769, 3.836953813925644, 3.904475964108748, 3.9500102684832243, 3.9770786320743503, 3.9517173013157056, 3.9840744564929804, 3.970341589621378, 4.018422004183032, 4.049396134507799, 4.102100452304364, 4.099382686685266, 4.127442977287923, 4.184927410815306, 4.167487460232222, 4.150497221041596, 4.186800736702116, 4.157867908949641, 4.108316457526008, 4.104331254607793, 4.140560441920551, 4.113211949028097, 4.132761567520167, 4.1008430887011755, 4.110402844510131, 4.115364829484574, 4.1100823648516345
gutenbergcarrolllewisthehuntingofthesn, 0.07818247058810145, 0.993780530724519, 1.8344686431724897, 1.9478468013280075, 2.6446675626887504, 2.913859814603578, 3.0467828755516098, 3.265855815420408, 3.161204979950374, 3.310390278702662, 3.4285612232785807, 3.6163098640178335, 3.7277174531630584, 3.828384205862389, 3.8751440061818623, 3.9307257088664835, 4.095819323688983, 4.194389426861743, 4.1945537571430505, 4.2414993616589625, 4.326778381596766, 4.3755112294849985, 4.472953355384817, 4.473906054725237, 4.534467613040067, 4.613064052314365, 4.590134773138366, 4.603895326288587, 4.6388642372355395, 4.600968121830093, 4.651657410065264, 4.656851433563861, 4.70221952993909, 4.7736199865654605, 4.743480195674995, 4.795051087005904, 4.786431179677347, 4.783749986436059, 4.783882352297905, 4.7803441285727635, 4.743378420868025, 4.6847666291239465, 4.705771700541579, 4.697826042605535, 4.707261316849097, 4.652148557311001, 4.660168428086327, 4.701060475469299, 4.72548888719843, 4.69431460197627
gutenbergcarrolllewisthroughthelookinggl, 1.121963979609034, 1.554065162423075, 1.8607502047489506, 1.9494339738535722, 2.1070582159897233, 2.199396913036855, 2.4220064483932395, 2.5319368870469665, 2.586354597568592, 2.6616555995421565, 2.7335528620241183, 2.788873994499075, 2.885686583375179, 2.974864211139476, 3.053566260957836, 3.155311063559359, 3.2236832511085165, 3.321936141525929, 3.3030450652416743, 3.408068195848866, 3.4378224760868767, 3.489265365120836, 3.540924413995094, 3.555097687541945, 3.5957615265248095, 3.634292248655326, 3.627220306192657, 3.636167116225629, 3.6409971005992383, 3.6208513257948134, 3.6572279397461047, 3.659992098226339, 3.697499089730993, 3.6321831983606425, 3.6064590692529896, 3.6143116812761646, 3.628057389938594, 3.6230873299542528, 3.6348581618134768, 3.6358229685396894, 3.6682501695162495, 3.653905420085295, 3.6822516326216075, 3.6968484706152482, 3.7388310167284677, 3.7080695771409067, 3.744186697246525, 3.7546357075268775, 3.7759804251309927, 3.797457893968573
gutenbergshakespearewilliamham, 0.46772285467210717, 1.3156802179398257, 1.8659084976749134, 2.1593318615928827, 2.48700305042867, 2.692214470370953, 2.839261463891622, 3.0193957820225292, 3.2645355344370017, 3.430602552936803, 3.561561923677397, 3.6627010302017693, 3.6973123466625335, 3.785438487666174, 3.8235761374974127, 3.9027548679881807, 3.9033083235712738, 3.9963221468436942, 4.016843820992719, 4.077618607408625, 4.163482212689387, 4.209298994277576, 4.228435165176445, 4.24838278813883, 4.262360002332314, 4.2592551284795, 4.302402049795174, 4.33229783481695, 4.3110719187662125, 4.320715432989874, 4.303854169251421, 4.31032758987782, 4.292195944959204, 4.278410701794016, 4.212488961609861, 4.204532354171548, 4.190370075291255, 4.220859027712087, 4.218778025234797, 4.213189820013352, 4.200574813661754, 4.214205217735874, 4.213848169683359, 4.210206210189325, 4.199615695589934, 4.191105696844043, 4.188292056992347, 4.224548396509432, 4.206433203188904, 4.202964609329077
gutenbergshakespearewilliammacb, 0.40641757047682286, 1.1088757291175104, 1.5102358924144776, 1.8792291582223104, 2.136099956342275, 2.1673030195637883, 2.2397754493233992, 2.3486016135248904, 2.400836185569354, 2.552109326949469, 2.674183590420129, 2.6770101795363, 2.733184953249419, 2.74392415291142, 2.706173376060026, 2.700741575097653, 2.787769077291575, 2.7973230034165413, 2.824376030367194, 2.869979606982515, 2.9461660532430685, 3.013050198979018, 2.9941518497983863, 3.0586286757502497, 3.070554438816484, 3.097642613157078, 3.109815086942151, 3.113046596463142, 3.153768655607884, 3.1697250638873986, 3.161355826627259, 3.190126117355516, 3.2364770532282403, 3.192944420062704, 3.1449728232269094, 3.1485428992533206, 3.1785517837094073, 3.1678414514917805, 3.203847041896945, 3.1666566839415453, 3.173736197917632, 3.196616624568717, 3.239450314603321, 3.223489530869387, 3.2241488986934725, 3.200713140559828, 3.2134659348609773, 3.218506273788961, 3.2539543162453457, 3.237960695089212
gutenbergshakespearewilliamothe, 0.6737167580659087, 1.304963011886379, 1.4883863326034834, 1.9147594823875136, 2.1869423324593225, 2.5224893319231576, 2.7835690982272254, 2.817857541959123, 2.9122351114805842, 2.9259318882305965, 3.0820169867730494, 3.113398562756132, 3.1683003489268455, 3.1576338193617, 3.2247698556495332, 3.275782451637075, 3.3585066074389696, 3.37879382668563, 3.50684506838953, 3.603021655360046, 3.6365305663052223, 3.6596293858479862, 3.656318899173666, 3.66486765757491, 3.6715275430737804, 3.6925837016054657, 3.7187465725197435, 3.6921034216851463, 3.7053794190491542, 3.7163876011980004, 3.7182721708727495, 3.7179902189233665, 3.7013204404600994, 3.6599896808340806, 3.62219677312013, 3.6440554899284123, 3.6841585428301333, 3.6867242351157166, 3.7006130273306934, 3.7156905674467366, 3.7231357380446957, 3.696407128235565, 3.674067257768272, 3.669238413841526, 3.664052477571271, 3.6538839525097253, 3.629707360211547, 3.6327245195261617, 3.6126030574609334, 3.601250351099925
gutenbergshakespearewilliamromeoandjulie, 1.1594567004556475, 2.345585280017076, 2.8513585278647926, 3.5803580706301257, 3.742149501968679, 3.9691766136443998, 4.220564907010508, 4.399050982777259, 4.596041199427771, 4.736008970318235, 4.859535558934568, 4.857393445309194, 4.858619354572283, 4.975433970802365, 4.990494834804425, 5.013871029755284, 5.082972787007573, 5.144676974417023, 5.168490634275121, 5.204209430644442, 5.298386741151077, 5.40367371366517, 5.4056617759309615, 5.421817777277791, 5.434082515863549, 5.4466076127657574, 5.455143663068836, 5.492686117802098, 5.509384753204549, 5.512568851202304, 5.554325232823092, 5.6132855478689665, 5.637160893362443, 5.657312660363148, 5.661879713540014, 5.635411857912407, 5.658891955963808, 5.649064448877761, 5.634114543175091, 5.645500928754221, 5.62315712272687, 5.596165041759345, 5.614340048499178, 5.578507966597692, 5.593861876347311, 5.600449058830341, 5.6018665747776675, 5.585657080451248, 5.583778719575015, 5.600603681290559
gutenbergwellshgdoctormor, 0.7496359818333185, 1.584552406288848, 2.32168648825446, 2.6595430549096313, 2.8183144060793617, 3.040813998655957, 3.2303986724664258, 3.350617198301334, 3.508382817241472, 3.712450811340275, 3.736295646589146, 3.819389746205366, 3.9149603970495224, 4.014564006931316, 4.047934643338294, 4.157729647227233, 4.269066944520687, 4.29627515306812, 4.325853076858432, 4.378272501431804, 4.4245476596817, 4.448608076618672, 4.498689864254992, 4.6091869685141305, 4.568376068909173, 4.595636365501735, 4.690116929684363, 4.745263903915689, 4.802706144687931, 4.827966251145735, 4.8475206298671605, 4.849882999881143, 4.816732387452484, 4.857756693076924, 4.885740465621353, 4.923764478185113, 4.936501385648811, 4.992827417784721, 4.98972114529511, 5.033283350950503, 5.031581261036714, 5.070455506409147, 5.098082487319234, 5.077666145455666, 5.099547313348774, 5.106254999810859, 5.139947584155389, 5.114586507631043, 5.134252499107951, 5.140618324026228
gutenbergwellshgthefirstmeninthem, 0.9279349872089394, 1.4297369592464981, 1.9570400211770007, 2.0254519437763556, 2.3791013618505095, 2.4923663271744387, 2.6622362864853084, 2.7290871604247555, 2.8433436980092854, 2.9778723051415668, 3.015295664041587, 3.0350356281464124, 3.1542384584587224, 3.292478448807129, 3.404428560925629, 3.512790891497834, 3.557928452713888, 3.6164386878309025, 3.611337447167497, 3.627216099195126, 3.6700118913041804, 3.638347328773907, 3.6826136045809417, 3.7182203194799865, 3.800833034895848, 3.8641132297396266, 3.9120418729603466, 3.929439471959571, 3.96385469724371, 4.009336772228251, 4.087977975366656, 4.1117640828201765, 4.179179154235238, 4.195020113532861, 4.239692178226621, 4.264235614994005, 4.323968829240135, 4.345282078245791, 4.37103324895747, 4.362408910068101, 4.361820128297657, 4.387188270472685, 4.383617235038818, 4.361866899561987, 4.347780058373423, 4.3721077994319115, 4.393558700949898, 4.365901577595935, 4.3758532697480295, 4.354981427489214
gutenbergwellshgtheinvisible, 0.7917862272051667, 1.5041255143095273, 2.2715278814648436, 2.699818103086857, 3.0367820763490863, 3.32102607695014, 3.5525936394088857, 3.6943014595344073, 3.812688044030043, 3.9072021514394835, 4.000598627153737, 4.025239606318793, 4.131812399428746, 4.237194870045871, 4.282834457076804, 4.447419975606121, 4.520919097631309, 4.591486251990461, 4.688327241646678, 4.797971604156259, 4.849792536474261, 4.881657208563426, 4.975138413543822, 5.050511101995186, 5.064900927885178, 5.079466888565309, 5.120622496449032, 5.157139500736304, 5.203116995424225, 5.274301780665521, 5.335719963050168, 5.384637392555479, 5.455420453275724, 5.50938315569599, 5.496284402548705, 5.579616822645673, 5.558081173054068, 5.619617022627359, 5.672536104175893, 5.71283551580382, 5.723293311010103, 5.774741349714615, 5.820068289248692, 5.875855638783748, 5.944784782457065, 6.000634405509872, 6.0569230320777345, 6.057684618478693, 6.082619193617453, 6.123705942396329
gutenbergwellshgthetimemach, 0.5144360433696549, 1.2093826421065443, 1.6383209020430012, 1.8644507925800147, 1.8862892691537645, 2.0719036234949124, 2.1710593198677475, 2.306925935229377, 2.47254873292504, 2.5535889553101647, 2.6122213681425506, 2.667801128183523, 2.7164307556690366, 2.831393682284977, 2.901546511884848, 2.8803476851141077, 2.931280141778572, 2.9296682320970215, 3.0890538020179004, 3.0682273423329023, 3.048881067190535, 3.112985868390587, 3.1563725662819357, 3.1455407064102197, 3.1336129889473554, 3.210983982204295, 3.26887396933328, 3.293136554217172, 3.3304248826105476, 3.320420279366936, 3.3285627317828648, 3.3633685854828665, 3.3818603808700787, 3.403105373959166, 3.403350694910235, 3.446488879006623, 3.4755299817921, 3.4393356045950063, 3.4722816708401165, 3.4704025265995813, 3.4668597623781743, 3.51211480535838, 3.5319234898065415, 3.4905824785255537, 3.491008603466414, 3.507915127116191, 3.530865745910172, 3.5231653468117012, 3.5021285192554643, 3.5065937397273528
gutenbergwildeoscaranidealhusb, 1.402955435341736, 1.9830394088250847, 2.308859978035473, 2.6558256567306953, 2.921558376722971, 3.144002542441708, 3.418813552637794, 3.531544893216594, 3.695375210698319, 3.7712652546628145, 4.058231375675098, 4.1733881496455085, 4.240576570952163, 4.315726000766444, 4.3523804474842835, 4.3995706023420205, 4.389222968033244, 4.44847140261956, 4.49185209010016, 4.502794851730013, 4.491181630687822, 4.447034464102657, 4.485671520539924, 4.491450395240574, 4.548198228502135, 4.597993207112172, 4.669669415832728, 4.7016156419912205, 4.748063044435024, 4.738497483572816, 4.8120356159200055, 4.8451381001746645, 4.87740060165095, 4.8389816119503175, 4.827372225553717, 4.8051987151689834, 4.847889635123626, 4.805535394391239, 4.80850143792623, 4.75172301477763, 4.6785326658108435, 4.662832108539497, 4.673213202256304, 4.683559614762177, 4.727404066257034, 4.747586304192491, 4.780232148350638, 4.784300279966161, 4.820622612579137, 4.802815831047878
gutenbergwildeoscarthecantervillegh, 1.3464453780907153, 1.8336613058529392, 2.333189410098661, 2.665271561920626, 2.8628030408690766, 3.045450986605268, 3.2830616094461713, 3.4060428114726937, 3.557089790771527, 3.683179301715204, 3.775292938493082, 3.8760570448823413, 3.876740318942931, 3.8736735108849336, 3.953477591230815, 4.036167876262905, 4.000982699705895, 4.07476343158934, 4.118942355202129, 4.150899762141518, 4.121770357768973, 4.154631423755342, 4.142957123632615, 4.167882441833399, 4.17832890412503, 4.1742264377912575, 4.213440207946416, 4.236687288830149, 4.239120179279233, 4.2701674557628175, 4.266008540082584, 4.293671128695182, 4.34657987008186, 4.393222323227865, 4.417286332895584, 4.434352696786076, 4.436467481172748, 4.452151081363147, 4.484034813989466, 4.503621088144473, 4.48336108288241, 4.497451757595646, 4.527658076444389, 4.522055166526303, 4.528733121226836, 4.557977994535606, 4.548860349573709, 4.587918592346725, 4.607339656149965, 4.619489110292796
gutenbergwildeoscartheimportanceofbeingear, 1.6339235151604734, 2.144434337757579, 2.557696709650594, 2.7545204626730704, 3.001118482784591, 3.1975194781294816, 3.3382933172558666, 3.470139827485212, 3.57328374782579, 3.618807599386986, 3.653379858906375, 3.7204989546129035, 3.7502516938356445, 3.7974704223229874, 3.771594769475231, 3.7631627490209327, 3.837385742077155, 3.7764925364472215, 3.780994870303128, 3.767477487895935, 3.7370702090288934, 3.7180079019922156, 3.7225319182767347, 3.729403525369328, 3.749868510599773, 3.7674009726427213, 3.7462331021005144, 3.7312149772112746, 3.672406748604201, 3.6940511305027197, 3.701389249542048, 3.6702804327564085, 3.681145670924639, 3.6224098898741715, 3.5830341325510675, 3.59205835063091, 3.5456957734543164, 3.5200258997706126, 3.5420856947079775, 3.4962060178634777, 3.4560601163872033, 3.4663807438135326, 3.4273721383752322, 3.4396880735024524, 3.423253379485595, 3.4454939038982033, 3.43403313117281, 3.4331983390242726, 3.39413005478584, 3.405556325174604
